Frequency(Hz),Magnitude(Ohm),Phase(rad)
100,6282.756,-1.563
200,3140.734,-1.555
300,2093.107,-1.547
400,1569.08,-1.539
500,1254.492,-1.531
600,1044.625,-1.523
700,894.598,-1.515
800,781.972,-1.507
900,694.28,-1.499
1000,624.042,-1.491
1100,566.498,-1.482
1200,518.475,-1.474
1300,477.777,-1.466
1400,442.834,-1.458
1500,412.496,-1.449
1600,385.899,-1.441
1700,362.384,-1.432
1800,341.437,-1.424
1900,322.654,-1.415
2000,305.709,-1.407
2100,290.342,-1.398
2200,276.337,-1.389
2300,263.518,-1.38
2400,251.735,-1.371
2500,240.866,-1.362
2600,230.806,-1.352
2700,221.464,-1.343
2800,212.765,-1.334
2900,204.643,-1.324
3000,197.039,-1.314
3100,189.906,-1.304
3200,183.199,-1.294
3300,176.879,-1.284
3400,170.914,-1.274
3500,165.273,-1.263
3600,159.93,-1.253
3700,154.862,-1.242
3800,150.047,-1.231
3900,145.466,-1.22
4000,141.103,-1.209
4100,136.942,-1.197
4200,132.969,-1.185
4300,129.172,-1.173
4400,125.54,-1.161
4500,122.063,-1.149
4600,118.73,-1.136
4700,115.534,-1.123
4800,112.466,-1.11
4900,109.52,-1.097
5000,106.689,-1.083
5100,103.968,-1.069
5200,101.35,-1.055
5300,98.831,-1.04
5400,96.406,-1.026
5500,94.07,-1.01
5600,91.821,-0.995
5700,89.654,-0.979
5800,87.567,-0.963
5900,85.555,-0.947
6000,83.617,-0.93
6100,81.749,-0.913
6200,79.95,-0.895
6300,78.217,-0.877
6400,76.548,-0.859
6500,74.942,-0.84
6600,73.396,-0.821
6700,71.91,-0.802
6800,70.481,-0.782
6900,69.108,-0.762
7000,67.791,-0.741
7100,66.527,-0.72
7200,65.317,-0.699
7300,64.159,-0.677
7400,63.052,-0.655
7500,61.995,-0.633
7600,60.988,-0.61
7700,60.029,-0.586
7800,59.119,-0.563
7900,58.257,-0.539
8000,57.441,-0.515
8100,56.671,-0.49
8200,55.947,-0.465
8300,55.269,-0.44
8400,54.634,-0.415
8500,54.044,-0.389
8600,53.497,-0.364
8700,52.993,-0.338
8800,52.531,-0.312
8900,52.11,-0.286
9000,51.73,-0.259
9100,51.389,-0.233
9200,51.089,-0.207
9300,50.826,-0.181
9400,50.602,-0.154
9500,50.414,-0.128
9600,50.263,-0.102
9700,50.146,-0.076
9800,50.064,-0.051
9900,50.016,-0.025
10000,50,0
10100,50.016,0.025
10200,50.062,0.05
10300,50.138,0.074
10400,50.242,0.098
10500,50.375,0.122
10600,50.534,0.145
10700,50.719,0.169
10800,50.929,0.191
10900,51.162,0.214
11000,51.419,0.235
11100,51.697,0.257
11200,51.997,0.278
11300,52.317,0.299
11400,52.656,0.319
11500,53.014,0.339
11600,53.389,0.358
11700,53.782,0.377
11800,54.19,0.396
11900,54.614,0.414
12000,55.052,0.432
12100,55.505,0.449
12200,55.97,0.466
12300,56.449,0.483
12400,56.939,0.499
12500,57.441,0.515
12600,57.953,0.53
12700,58.476,0.545
12800,59.009,0.56
12900,59.551,0.574
13000,60.101,0.588
13100,60.66,0.602
13200,61.227,0.615
13300,61.802,0.628
13400,62.383,0.641
13500,62.972,0.653
13600,63.566,0.666
13700,64.167,0.677
13800,64.773,0.689
13900,65.385,0.7
14000,66.002,0.711
14100,66.624,0.722
14200,67.25,0.733
14300,67.881,0.743
14400,68.516,0.753
14500,69.154,0.763
14600,69.797,0.772
14700,70.443,0.782
14800,71.092,0.791
14900,71.744,0.8
15000,72.399,0.808
15100,73.056,0.817
15200,73.717,0.825
15300,74.379,0.834
15400,75.044,0.842
15500,75.711,0.849
15600,76.381,0.857
15700,77.052,0.865
15800,77.725,0.872
15900,78.399,0.879
16000,79.075,0.886
16100,79.753,0.893
16200,80.432,0.9
16300,81.112,0.907
16400,81.794,0.913
16500,82.477,0.919
16600,83.16,0.926
16700,83.845,0.932
16800,84.531,0.938
16900,85.217,0.944
17000,85.905,0.95
17100,86.593,0.955
17200,87.282,0.961
17300,87.971,0.966
17400,88.661,0.972
17500,89.351,0.977
17600,90.042,0.982
17700,90.734,0.987
17800,91.426,0.992
17900,92.118,0.997
